dc:identifier,dc:modified,ayto:type,ayto:latitude,ayto:longitude,ayto:status,uri
3705,2021-08-18T03:14:28Z,parking,43.462596893,-3.800741196,1,http://datos.santander.es/api/datos/sensores_smart_parking/3705.csv
3692,2021-08-17T11:56:17Z,parking,43.463516235,-3.797757149,1,http://datos.santander.es/api/datos/sensores_smart_parking/3692.csv
3650,2021-08-16T15:32:28Z,parking,43.463150024,-3.797865152,1,http://datos.santander.es/api/datos/sensores_smart_parking/3650.csv
3740,2021-08-14T13:43:21Z,parking,43.464302063,-3.798541784,1,http://datos.santander.es/api/datos/sensores_smart_parking/3740.csv
3714,2021-08-13T18:29:33Z,parking,43.462459564,-3.800619125,1,http://datos.santander.es/api/datos/sensores_smart_parking/3714.csv
3879,2021-08-12T14:11:26Z,parking,43.46446991,-3.798666477,1,http://datos.santander.es/api/datos/sensores_smart_parking/3879.csv
3764,2021-08-09T06:28:49Z,parking,43.463012695,-3.798304319,0,http://datos.santander.es/api/datos/sensores_smart_parking/3764.csv
3889,2021-08-07T09:14:39Z,parking,43.464698792,-3.79710412,1,http://datos.santander.es/api/datos/sensores_smart_parking/3889.csv
3649,2021-08-04T09:47:59Z,parking,43.463142395,-3.797930956,1,http://datos.santander.es/api/datos/sensores_smart_parking/3649.csv
3758,2021-08-02T04:49:36Z,parking,43.463424683,-3.798382044,1,http://datos.santander.es/api/datos/sensores_smart_parking/3758.csv
3894,2021-07-28T14:44:14Z,parking,43.464206696,-3.798618317,1,http://datos.santander.es/api/datos/sensores_smart_parking/3894.csv
3781,2021-07-26T22:03:49Z,parking,43.464149475,-3.799760818,0,http://datos.santander.es/api/datos/sensores_smart_parking/3781.csv
3694,2021-07-20T12:27:38Z,parking,43.463527679,-3.797633886,1,http://datos.santander.es/api/datos/sensores_smart_parking/3694.csv
3746,2021-07-17T20:44:04Z,parking,43.464046478,-3.798501492,1,http://datos.santander.es/api/datos/sensores_smart_parking/3746.csv
3794,2021-07-11T13:37:36Z,parking,43.463443756,-3.799638748,0,http://datos.santander.es/api/datos/sensores_smart_parking/3794.csv
3877,2021-06-01T14:33:52Z,parking,43.464458466,-3.798816681,1,http://datos.santander.es/api/datos/sensores_smart_parking/3877.csv
3666,2021-04-29T03:57:36Z,parking,43.462940216,-3.800073385,1,http://datos.santander.es/api/datos/sensores_smart_parking/3666.csv
