FID,featureid,sensorid,phenomenon_time,battery_voltage,humidity,temperature,no_we,no_aux,no2_we,no2_aux,ox_we,ox_aux,co_aux,co_we,no_concentration,no2_concentration,ox_concentration,co_concentration
historic_air_quality_sensor_raw_observations_2019_11.fid--6ccc9236_1791e6de804_-7583,88,4025,2019-11-27T22:55:21.254,5.246,55.35940552,15.39578552,296.1730957,2.83813477,222.01538086,-1.09863281,235.29052734,14.46533203,75.25634766,405.39550781,-7.28873071,39.53942587,20.3312328,111.18371842
historic_air_quality_sensor_raw_observations_2019_11.fid--6ccc9236_1791e6de804_-7582,88,4019,2019-11-27T23:32:33.622,5.244,56.17384338,15.01236328,302.85644531,7.32421875,226.59301758,4.66918945,247.74169922,9.79614258,27.37426758,370.60546875,-13.88025542,34.16674718,10.24228051,82.45750018
historic_air_quality_sensor_raw_observations_2019_11.fid--6ccc9236_1791e6de804_-7581,88,4019,2019-11-27T23:22:33.631,5.245,55.97547913,15.11693298,303.77197266,7.41577148,226.40991211,4.21142578,247.19238281,9.15527344,27.92358398,370.60546875,-13.71469894,32.54920771,7.8947745,83.73795801
historic_air_quality_sensor_raw_observations_2019_11.fid--6ccc9236_1791e6de804_-7580,88,4019,2019-11-27T23:12:33.644,5.247,55.85913086,15.21614014,303.22265625,7.14111328,226.77612305,4.76074219,248.01635742,9.97924805,31.76879883,375,-14.21136839,34.49025508,10.91299651,92.70116277
historic_air_quality_sensor_raw_observations_2019_11.fid--6ccc9236_1791e6de804_-757f,88,4019,2019-11-27T23:02:31.656,5.246,56.05749512,15.33947876,303.03955078,6.31713867,228.42407227,6.50024414,247.65014648,9.61303711,37.62817383,381.04248047,-15.70137672,40.63690509,9.5715645,106.35937955
historic_air_quality_sensor_raw_observations_2019_11.fid--6ccc9236_1791e6de804_-757e,88,4019,2019-11-28T00:22:33.354,5.243,58.16893005,14.59944702,303.22265625,7.41577148,226.77612305,4.48608398,248.01635742,9.70458984,27.19116211,370.51391602,-13.71469894,33.51973139,9.9069225,82.03068091
historic_air_quality_sensor_raw_observations_2019_11.fid--6ccc9236_1791e6de804_-757d,88,4019,2019-11-28T00:12:29.607,5.245,58.09072876,14.59944702,302.76489258,7.32421875,226.68457031,4.76074219,247.37548828,9.24682617,25.26855469,368.13354492,-13.88025542,34.49025508,8.2301325,77.54907853
historic_air_quality_sensor_raw_observations_2019_11.fid--6ccc9236_1791e6de804_-757c,88,4019,2019-11-28T00:02:29.48,5.246,57.38882446,14.66111633,301.66625977,6.50024414,227.23388672,5.31005859,247.19238281,8.7890625,23.62060547,366.94335938,-15.37026376,36.43130245,6.55334249,73.70770506
historic_air_quality_sensor_raw_observations_2019_11.fid--6ccc9236_1791e6de804_-757b,88,4019,2019-11-27T23:52:29.558,5.247,56.83950806,14.78713623,302.58178711,6.77490234,226.68457031,4.76074219,247.10083008,9.0637207,25.72631836,368.8659668,-14.87359432,34.49025508,7.55941649,78.61612671
historic_air_quality_sensor_raw_observations_2019_11.fid--6ccc9236_1791e6de804_-757a,88,4019,2019-11-27T23:42:29.603,5.246,56.72888184,14.91315613,302.30712891,6.31713867,227.32543945,5.31005859,247.55859375,9.15527344,26.6418457,369.78149414,-15.70137672,36.43130245,7.8947745,80.75022308
historic_air_quality_sensor_raw_observations_2019_11.fid--6ccc9236_1791e6de804_-7579,88,4020,2019-11-27T22:44:46.484,5.176,54.42098999,15.49499268,302.67333984,-0.73242188,232.26928711,3.47900391,231.7199707,0,49.89624023,390.28930664,-13.20082721,68.95287511,41.66666667,129.81219783
historic_air_quality_sensor_raw_observations_2019_11.fid--6ccc9236_1791e6de804_-7578,88,4020,2019-11-27T23:24:45.326,5.176,55.41471863,15.09280151,300.84228516,-2.28881836,231.53686523,3.38745117,230.80444336,-0.45776367,35.15625,375.64086914,-16.25258502,68.64461674,40.07720947,96.76289238
historic_air_quality_sensor_raw_observations_2019_11.fid--6ccc9236_1791e6de804_-7577,88,4020,2019-11-27T23:34:44.217,5.175,55.89727783,14.99091309,300.93383789,-2.56347656,231.99462891,3.47900391,230.80444336,-0.54931641,33.59985352,374.17602539,-16.79113051,68.95287511,39.75931803,93.27321416
historic_air_quality_sensor_raw_observations_2019_11.fid--6ccc9236_1791e6de804_-7576,86,4021,2019-11-27T23:24:08.704,5.256,52.73298645,15.42527954,292.87719727,-7.41577148,225.8605957,-3.02124023,232.54394531,-2.28881836,40.46630859,385.07080078,-14.04502175,21.74068463,18.9204082,85.66741206
historic_air_quality_sensor_raw_observations_2019_11.fid--6ccc9236_1791e6de804_-7575,86,4021,2019-11-27T23:34:11.394,5.253,53.15260315,15.38506042,293.88427734,-6.68334961,226.13525391,-3.02124023,231.07910156,-3.2043457,39.00146484,384.33837891,-12.65785911,21.74068463,15.24359155,82.12914213
historic_air_quality_sensor_raw_observations_2019_11.fid--6ccc9236_1791e6de804_-7574,86,4021,2019-11-27T23:54:06.346,5.255,53.96704102,15.25367798,294.52514648,-6.22558594,226.68457031,-2.9296875,229.88891602,-4.66918945,37.62817383,383.05664062,-11.79088246,22.02589564,9.36068493,78.81201408
historic_air_quality_sensor_raw_observations_2019_11.fid--6ccc9236_1791e6de804_-7573,86,4021,2019-11-28T00:04:08.723,5.256,54.6880188,15.14910828,294.52514648,-6.22558594,225.95214844,-2.9296875,229.88891602,-4.66918945,39.27612305,384.24682617,-11.79088246,22.02589564,9.36068493,82.79256775
historic_air_quality_sensor_raw_observations_2019_11.fid--6ccc9236_1791e6de804_-7572,86,4021,2019-11-28T00:14:07.46,5.255,55.01989746,15.0525824,293.33496094,-6.22558594,224.76196289,-4.21142578,232.08618164,-2.28881836,40.55786133,385.43701172,-11.79088246,18.03294149,18.9204082,85.88855393
historic_air_quality_sensor_raw_observations_2019_11.fid--6ccc9236_1791e6de804_-7571,83,4022,2019-11-27T23:30:00.701,5.167,57.79699707,14.33131958,301.30004883,2.19726562,211.30371094,-14.9230957,223.20556641,0.45776367,58.95996094,396.60644531,-26.24093988,40.52652449,20.06530762,70.80675046
historic_air_quality_sensor_raw_observations_2019_11.fid--6ccc9236_1791e6de804_-7570,83,4022,2019-11-27T23:40:05.146,5.164,58.43405151,14.14363037,299.92675781,1.83105469,211.48681641,-14.83154297,222.3815918,-0.45776367,56.85424805,394.68383789,-26.93715839,40.83374843,16.69939827,65.65830818
