id;recvtime;fiwareservicepath;entitytype;entityid;laeq;laeq_d;laeq_den;laeq_e;laeq_n;dateobserved
888;2022-02-14T00:00:28+00:00;/sonometros;NoiseLevelObserved;T248670-daily;59.8;59.3;66.6;58.4;60.7;2022-02-13
889;2022-02-15T00:00:30+00:00;/sonometros;NoiseLevelObserved;T248670-daily;59.6;61.3;61.9;58.3;52.5;2022-02-14
892;2022-02-18T00:00:54+00:00;/sonometros;NoiseLevelObserved;T248670-daily;60.4;61.5;64.4;61.4;56.7;2022-02-17
893;2022-02-19T00:00:43+00:00;/sonometros;NoiseLevelObserved;T248670-daily;62.5;63.1;66.6;66.7;58.1;2022-02-18
894;2022-02-20T00:00:46+00:00;/sonometros;NoiseLevelObserved;T248670-daily;63.0;62.9;68.9;65.9;62.2;2022-02-19
896;2022-02-22T00:00:48+00:00;/sonometros;NoiseLevelObserved;T248670-daily;68.9;71.1;69.1;56.9;51.6;2022-02-21
897;2022-02-23T00:00:50+00:00;/sonometros;NoiseLevelObserved;T248670-daily;76.6;78.9;76.6;58.4;51.7;2022-02-22
898;2022-02-24T00:00:51+00:00;/sonometros;NoiseLevelObserved;T248670-daily;67.7;69.9;68.1;59.4;52.3;2022-02-23
899;2022-02-25T00:00:55+00:00;/sonometros;NoiseLevelObserved;T248670-daily;67.2;69.3;68.2;62.2;55.5;2022-02-24
909;2022-03-07T00:00:14+00:00;/sonometros;NoiseLevelObserved;T248670-daily;70.9;72.3;75.3;58.4;68.6;2022-03-06
942;2022-03-08T00:00:17+00:00;/sonometros;NoiseLevelObserved;T248670-daily;62.7;64.7;64.2;59.6;53.1;2022-03-07
943;2022-03-09T00:00:18+00:00;/sonometros;NoiseLevelObserved;T248670-daily;64.4;66.5;65.7;57.7;54.7;2022-03-08
944;2022-03-10T00:00:22+00:00;/sonometros;NoiseLevelObserved;T248670-daily;62.8;61.9;69.7;64.0;63.7;2022-03-09
947;2022-03-13T00:00:25+00:00;/sonometros;NoiseLevelObserved;T248670-daily;77.9;78.3;83.2;79.4;76.4;2022-03-12
950;2022-03-16T00:00:32+00:00;/sonometros;NoiseLevelObserved;T248670-daily;76.9;76.0;82.7;82.2;75.5;2022-03-15
951;2022-03-17T00:00:34+00:00;/sonometros;NoiseLevelObserved;T248670-daily;85.1;78.2;94.5;82.9;89.1;2022-03-16
953;2022-03-19T00:00:46+00:00;/sonometros;NoiseLevelObserved;T248670-daily;87.0;88.2;91.0;86.8;83.5;2022-03-18
957;2022-03-23T00:00:52+00:00;/sonometros;NoiseLevelObserved;T248670-daily;60.6;61.9;64.7;59.2;57.4;2022-03-22
958;2022-03-24T00:00:50+00:00;/sonometros;NoiseLevelObserved;T248670-daily;60.2;62.0;62.4;57.9;53.0;2022-03-23
961;2022-03-27T00:00:54+00:00;/sonometros;NoiseLevelObserved;T248670-daily;60.6;60.7;66.5;62.2;60.0;2022-03-26
963;2022-03-29T00:00:58+00:00;/sonometros;NoiseLevelObserved;T248670-daily;63.6;65.5;65.8;60.8;56.3;2022-03-28
968;2022-04-03T00:00:10+00:00;/sonometros;NoiseLevelObserved;T248670-daily;61.1;61.8;65.8;62.9;58.6;2022-04-02
969;2022-04-04T00:00:28+00:00;/sonometros;NoiseLevelObserved;T248670-daily;58.8;58.6;65.1;60.1;58.8;2022-04-03
970;2022-04-05T00:00:14+00:00;/sonometros;NoiseLevelObserved;T248670-daily;59.0;60.7;61.7;57.4;52.8;2022-04-04
971;2022-04-06T00:00:17+00:00;/sonometros;NoiseLevelObserved;T248670-daily;59.9;61.7;62.3;58.0;53.0;2022-04-05
973;2022-04-08T00:00:20+00:00;/sonometros;NoiseLevelObserved;T248670-daily;60.1;60.8;64.3;63.2;56.4;2022-04-07
974;2022-04-09T00:00:23+00:00;/sonometros;NoiseLevelObserved;T248670-daily;61.8;61.9;66.8;65.5;59.5;2022-04-08
976;2022-04-11T00:00:26+00:00;/sonometros;NoiseLevelObserved;T248670-daily;61.1;60.2;68.2;62.2;62.2;2022-04-10
977;2022-04-12T00:00:28+00:00;/sonometros;NoiseLevelObserved;T248670-daily;60.1;61.7;62.7;59.2;53.6;2022-04-11
981;2022-04-16T00:00:37+00:00;/sonometros;NoiseLevelObserved;T248670-daily;60.4;59.8;66.6;64.3;59.9;2022-04-15
982;2022-04-17T00:00:39+00:00;/sonometros;NoiseLevelObserved;T248670-daily;60.5;58.8;67.8;63.7;61.7;2022-04-16
986;2022-04-21T00:00:48+00:00;/sonometros;NoiseLevelObserved;T248670-daily;59.8;61.6;62.4;56.9;53.7;2022-04-20
987;2022-04-22T00:00:50+00:00;/sonometros;NoiseLevelObserved;T248670-daily;60.3;61.2;63.8;64.0;54.6;2022-04-21
992;2022-04-27T00:00:12+00:00;/sonometros;NoiseLevelObserved;T248670-daily;60.2;61.1;65.1;58.5;58.4;2022-04-26
997;2022-05-02T00:00:17+00:00;/sonometros;NoiseLevelObserved;T248670-daily;61.4;59.7;69.0;61.6;63.2;2022-05-01
1000;2022-05-05T00:00:17+00:00;/sonometros;NoiseLevelObserved;T248670-daily;58.5;59.3;62.7;61.1;54.7;2022-05-04
1002;2022-05-07T00:00:26+00:00;/sonometros;NoiseLevelObserved;T248670-daily;62.7;62.7;67.5;67.5;59.6;2022-05-06
1007;2022-05-12T00:00:33+00:00;/sonometros;NoiseLevelObserved;T248670-daily;59.8;61.1;63.0;61.8;54.1;2022-05-11
1011;2022-05-16T00:00:41+00:00;/sonometros;NoiseLevelObserved;T248670-daily;60.7;58.9;68.3;61.9;62.5;2022-05-15
1012;2022-05-17T00:00:45+00:00;/sonometros;NoiseLevelObserved;T248670-daily;59.9;61.4;62.9;59.3;54.4;2022-05-16
