FID,featureid,sensorid,phenomenon_time,battery_voltage,humidity,temperature,no_we,no_aux,no2_we,no2_aux,ox_we,ox_aux,co_aux,co_we,no_concentration,no2_concentration,ox_concentration,co_concentration
historic_air_quality_sensor_raw_observations_2019_07.fid--6ccc9236_1791e6ea251_-743e,83,4025,2019-07-30T02:47:47.342,6.088,59.33050537,20,343.23120117,16.29638672,220.91674805,-5.31005859,232.72705078,10.71166992,69.58007812,398.07128906,16.28088742,25.54797809,8.52726391,99.1065492
historic_air_quality_sensor_raw_observations_2019_07.fid--6ccc9236_1791e6ea251_-743d,83,4025,2019-07-30T02:37:46.887,6.09,60.10488892,20,343.13964844,17.48657227,222.01538086,-4.66918945,232.81860352,10.43701172,70.86181641,399.07836914,18.36527542,27.67711145,7.66355886,101.83365193
historic_air_quality_sensor_raw_observations_2019_07.fid--6ccc9236_1791e6ea251_-743c,83,4025,2019-07-30T02:27:53.119,6.089,58.97573853,20,343.87207031,17.02880859,220.55053711,-5.31005859,234.74121094,11.07788086,70.67871094,398.62060547,17.56358773,25.54797809,9.67887063,101.44406582
historic_air_quality_sensor_raw_observations_2019_07.fid--6ccc9236_1791e6ea251_-743b,83,4026,2019-07-30T02:23:42.377,5.718,58.8727417,20,321.71630859,20.96557617,240.05126953,13.27514648,233.27636719,10.62011719,72.9675293,412.35351562,-5.85796106,7.63471975,25.23217612,105.80595129
historic_air_quality_sensor_raw_observations_2019_07.fid--6ccc9236_1791e6ea251_-743a,83,4026,2019-07-30T02:13:43.626,5.718,57.59291077,20,327.57568359,26.91650391,237.48779297,10.52856445,227.14233398,4.48608398,72.05200195,412.53662109,5.63031642,-1.58199848,4.9208079,103.6517693
historic_air_quality_sensor_raw_observations_2019_07.fid--6ccc9236_1791e6ea251_-7439,83,4026,2019-07-30T02:03:42.915,5.718,57.59291077,20,317.68798828,16.57104492,240.5090332,13.00048828,235.74829102,12.26806641,71.59423828,411.80419922,-14.34161212,6.71304792,30.68896161,102.57467831
historic_air_quality_sensor_raw_observations_2019_07.fid--6ccc9236_1791e6ea251_-7438,83,4026,2019-07-30T01:53:46.409,5.72,57.72642517,20,322.35717773,20.32470703,242.06542969,15.38085938,225.5859375,5.31005859,71.41113281,412.26196289,-7.09516017,14.70087039,7.64920064,102.14384191
historic_air_quality_sensor_raw_observations_2019_07.fid--6ccc9236_1791e6ea251_-7437,83,4026,2019-07-30T02:53:46.46,5.716,59.28091431,20,321.9909668,20.05004883,240.69213867,13.91601562,230.52978516,7.78198242,71.31958008,411.52954102,-7.62538836,9.78528733,15.83437888,101.92842371
historic_air_quality_sensor_raw_observations_2019_07.fid--6ccc9236_1791e6ea251_-7436,83,4019,2019-07-30T03:05:08.315,6.069,59.21987915,20,322.72338867,20.59936523,224.94506836,3.47900391,247.00927734,8.88061523,31.12792969,381.04248047,10.12543442,29.96114455,6.88870049,91.20729531
historic_air_quality_sensor_raw_observations_2019_07.fid--6ccc9236_1791e6ea251_-7435,83,4019,2019-07-30T02:55:08.316,6.072,59.67001343,20,321.80786133,20.05004883,225.40283203,4.39453125,246.09375,8.14819336,32.59277344,382.04956055,9.13209553,33.1962235,4.20583648,94.6218495
historic_air_quality_sensor_raw_observations_2019_07.fid--6ccc9236_1791e6ea251_-7434,83,4019,2019-07-30T02:45:06.343,6.072,59.66619873,20,321.53320312,19.31762695,225.21972656,4.02832031,246.55151367,8.5144043,34.97314453,383.23974609,7.80764368,31.90219192,5.54726849,100.17050007
