Codigo;Decibelios medidos;Fecha/Hora medicion
BI-RUI-006;62.287;2023-11-09 01:45:24.37
BI-RUI-009;58.401;2023-11-09 01:45:27.717
BI-RUI-019;60.577;2023-11-09 01:45:33.28
BI-RUI-C002;60.740;2023-11-09 01:45:40.513
BI-RUI-001;59.354;2023-11-09 01:45:42.953
BI-RUI-020;59.40;2023-11-09 01:46:00.97
BI-RUI-BR8;57.70;2023-11-09 01:46:24.083
BI-RUI-C005;63.30;2023-11-09 01:46:27.13
BI-RUI-C008;56.673;2023-11-09 01:46:38.88
BI-RUI-BR6;64.20;2023-11-09 01:46:59.243
BI-RUI-010;60.883;2023-11-09 01:47:10.683
BI-RUI-BR2;60.240;2023-11-09 01:48:16.52
BI-RUI-C003;53.096;2023-11-09 01:48:19.443
BI-RUI-011;58.554;2023-11-09 01:50:29.977
BI-RUI-P009;57.1;2023-11-09 01:50:51.933
BI-RUI-008;57.976;2023-11-09 01:51:24.703
BI-RUI-BR5;63.873;2023-11-09 01:51:28.797
BI-RUI-P008;58.3;2023-11-09 01:51:36.017
BI-RUI-P006;62.9;2023-11-09 01:52:05.41
BI-RUI-P012;67.6;2023-11-09 01:52:45.697
BI-RUI-022;60.723;2023-11-09 01:53:43.267
BI-RUI-021;61.60;2023-11-09 01:55:30.36
BI-RUI-BR7;55.112;2023-11-09 01:56:47.06
BI-RUI-023;69.554;2023-11-09 01:57:12.233
BI-RUI-C010;52.719;2023-11-09 01:57:28.69
BI-RUI-P014;60.7;2023-11-09 01:57:48.91
BI-RUI-P002;55.9;2023-11-09 01:58:00.583
BI-RUI-P013;60.1;2023-11-09 01:58:12.79
BI-RUI-P010;60.2;2023-11-09 01:59:09.657
BI-RUI-015;59.966;2023-11-09 01:59:52.007
BI-RUI-019;57.652;2023-11-09 02:00:21.463
BI-RUI-006;62.829;2023-11-09 02:00:24.917
BI-RUI-004;54.917;2023-11-09 02:00:27.683
BI-RUI-009;59.230;2023-11-09 02:00:28.293
BI-RUI-001;57.980;2023-11-09 02:00:48.34
BI-RUI-C002;49.573;2023-11-09 02:00:49.763
BI-RUI-020;57.10;2023-11-09 02:01:16.91
BI-RUI-C008;55.257;2023-11-09 02:01:37.753
BI-RUI-BR8;61.70;2023-11-09 02:01:49.93
BI-RUI-C005;62.80;2023-11-09 02:01:53.523
BI-RUI-010;59.757;2023-11-09 02:02:10.62
BI-RUI-BR6;66.00;2023-11-09 02:02:24.857
BI-RUI-P011;58.1;2023-11-09 02:02:53.063
BI-RUI-C003;53.017;2023-11-09 02:03:19.597
BI-RUI-BR2;51.549;2023-11-09 02:03:29.02
BI-RUI-011;54.969;2023-11-09 02:05:24.207
BI-RUI-P009;57.8;2023-11-09 02:05:52.227
BI-RUI-008;52.148;2023-11-09 02:06:32.763
BI-RUI-P008;57.2;2023-11-09 02:06:36.03
BI-RUI-BR5;72.524;2023-11-09 02:06:40.813
BI-RUI-P006;65.0;2023-11-09 02:07:05.643
BI-RUI-C009;43.018;2023-11-09 02:07:12.143
BI-RUI-P012;58.1;2023-11-09 02:07:46.273
BI-RUI-022;59.028;2023-11-09 02:08:50.393
BI-RUI-021;54.30;2023-11-09 02:10:36.407
BI-RUI-BR7;52.367;2023-11-09 02:11:47.15
BI-RUI-023;51.050;2023-11-09 02:12:13.327
BI-RUI-C010;62.657;2023-11-09 02:12:14.5
BI-RUI-P014;58.6;2023-11-09 02:12:49.05
BI-RUI-P002;54.7;2023-11-09 02:13:00.567
BI-RUI-P010;54.5;2023-11-09 02:14:09.967
BI-RUI-015;60.140;2023-11-09 02:15:08.82
BI-RUI-004;53.093;2023-11-09 02:15:11.117
BI-RUI-P005;61.0;2023-11-09 02:15:11.883
BI-RUI-006;61.802;2023-11-09 02:15:13.773
BI-RUI-C009;58.642;2023-11-09 02:15:16.65
BI-RUI-019;59.398;2023-11-09 02:15:19.727
BI-RUI-009;56.961;2023-11-09 02:15:22.273
