id;recvtime;fiwareservicepath;entitytype;entityid;laeq;laeq_d;laeq_den;laeq_e;laeq_n;dateobserved
373;2021-10-05T00:00:54+00:00;/sonometros;NoiseLevelObserved;T248676-daily;60.8;62.3;63.8;60.9;55.1;2021-10-04
382;2021-10-14T00:00:20+00:00;/sonometros;NoiseLevelObserved;T248676-daily;60.2;61.8;63.5;58.1;55.6;2021-10-13
415;2021-10-15T00:00:21+00:00;/sonometros;NoiseLevelObserved;T248676-daily;60.5;62.1;62.8;61.2;52.6;2021-10-14
418;2021-10-18T00:00:29+00:00;/sonometros;NoiseLevelObserved;T248676-daily;58.7;58.7;64.9;59.1;58.7;2021-10-17
423;2021-10-23T00:01:44+00:00;/sonometros;NoiseLevelObserved;T248676-daily;61.1;62.5;64.3;61.7;55.8;2021-10-22
462;2021-10-30T00:00:02+00:00;/sonometros;NoiseLevelObserved;T248676-daily;62.3;63.9;64.8;63.2;55.0;2021-10-29
496;2021-11-01T03:50:07+00:00;/sonometros;NoiseLevelObserved;T248676-daily;61.3;60.8;67.9;63.3;61.4;2021-10-31
595;2021-11-04T00:00:16+00:00;/sonometros;NoiseLevelObserved;T248676-daily;59.8;61.4;62.3;60.7;52.5;2021-11-03
628;2021-11-05T00:00:18+00:00;/sonometros;NoiseLevelObserved;T248676-daily;59.3;60.7;62.2;60.9;52.8;2021-11-04
663;2021-11-08T00:00:25+00:00;/sonometros;NoiseLevelObserved;T248676-daily;56.8;56.9;62.7;57.9;56.3;2021-11-07
664;2021-11-09T00:00:27+00:00;/sonometros;NoiseLevelObserved;T248676-daily;60.6;62.4;62.8;58.4;53.2;2021-11-08
703;2021-11-16T00:00:45+00:00;/sonometros;NoiseLevelObserved;T248676-daily;59.5;61.2;61.9;59.7;52.0;2021-11-15
704;2021-11-17T00:00:51+00:00;/sonometros;NoiseLevelObserved;T248676-daily;60.3;62.2;62.4;57.0;52.7;2021-11-16
706;2021-11-19T00:00:53+00:00;/sonometros;NoiseLevelObserved;T248676-daily;61.1;62.7;63.8;61.3;54.7;2021-11-18
745;2021-11-26T00:00:10+00:00;/sonometros;NoiseLevelObserved;T248676-daily;59.5;61.0;62.2;59.4;53.2;2021-11-25
746;2021-11-27T00:00:13+00:00;/sonometros;NoiseLevelObserved;T248676-daily;60.4;61.9;63.1;60.8;54.0;2021-11-26
750;2021-12-01T00:00:21+00:00;/sonometros;NoiseLevelObserved;T248676-daily;59.9;61.6;62.4;58.7;53.3;2021-11-30
754;2021-12-05T00:00:31+00:00;/sonometros;NoiseLevelObserved;T248676-daily;58.5;59.3;63.0;60.0;55.7;2021-12-04
756;2021-12-07T00:00:35+00:00;/sonometros;NoiseLevelObserved;T248676-daily;56.8;57.6;61.8;57.4;54.9;2021-12-06
761;2021-12-12T00:01:49+00:00;/sonometros;NoiseLevelObserved;T248676-daily;59.3;59.5;64.2;63.3;56.6;2021-12-11
799;2021-12-18T00:00:09+00:00;/sonometros;NoiseLevelObserved;T248676-daily;61.3;62.4;64.7;64.4;55.7;2021-12-17
802;2021-12-21T00:00:32+00:00;/sonometros;NoiseLevelObserved;T248676-daily;61.7;63.3;65.1;59.3;57.2;2021-12-20
804;2021-12-23T00:00:16+00:00;/sonometros;NoiseLevelObserved;T248676-daily;61.0;62.5;64.0;61.2;55.3;2021-12-22
809;2021-12-28T00:00:28+00:00;/sonometros;NoiseLevelObserved;T248676-daily;58.9;60.3;62.1;59.4;53.7;2021-12-27
810;2021-12-29T00:00:31+00:00;/sonometros;NoiseLevelObserved;T248676-daily;59.6;60.5;63.0;63.6;53.4;2021-12-28
812;2022-01-05T23:27:12+00:00;/sonometros;NoiseLevelObserved;T248676-daily;59.7;61.1;62.9;59.7;54.6;2022-01-04
813;2022-01-06T00:18:01+00:00;/sonometros;NoiseLevelObserved;T248676-daily;61.1;62.9;63.4;58.7;54.2;2022-01-05
815;2022-01-08T00:00:54+00:00;/sonometros;NoiseLevelObserved;T248676-daily;59.3;60.7;62.9;59.0;55.0;2022-01-07
