id;recvtime;fiwareservicepath;entitytype;entityid;laeq;laeq_d;laeq_den;laeq_e;laeq_n;dateobserved
193;2021-04-25T00:00:52+00:00;/sonometros;NoiseLevelObserved;T248671-daily;60.5;62.3;61.9;59.9;49.5;2021-04-24
196;2021-04-28T00:00:25+00:00;/sonometros;NoiseLevelObserved;T248671-daily;62.2;64.0;63.9;61.6;52.7;2021-04-27
197;2021-04-29T00:00:22+00:00;/sonometros;NoiseLevelObserved;T248671-daily;61.3;63.1;62.9;59.8;52.0;2021-04-28
198;2021-04-30T00:00:24+00:00;/sonometros;NoiseLevelObserved;T248671-daily;61.9;63.7;63.0;;51.5;2021-04-29
199;2021-05-01T00:00:11+00:00;/sonometros;NoiseLevelObserved;T248671-daily;62.4;64.2;64.2;62.7;52.6;2021-04-30
204;2021-05-06T00:00:24+00:00;/sonometros;NoiseLevelObserved;T248671-daily;61.2;62.9;63.2;60.9;52.8;2021-05-05
210;2021-05-12T00:00:36+00:00;/sonometros;NoiseLevelObserved;T248671-daily;60.7;62.4;62.9;60.3;53.0;2021-05-11
211;2021-05-13T00:00:38+00:00;/sonometros;NoiseLevelObserved;T248671-daily;61.6;63.5;63.2;59.2;52.4;2021-05-12
215;2021-05-17T00:00:51+00:00;/sonometros;NoiseLevelObserved;T248671-daily;58.8;60.3;61.5;59.0;52.5;2021-05-16
217;2021-05-19T00:00:56+00:00;/sonometros;NoiseLevelObserved;T248671-daily;61.4;63.0;64.1;61.9;54.8;2021-05-18
218;2021-05-20T00:00:00+00:00;/sonometros;NoiseLevelObserved;T248671-daily;61.7;63.5;63.7;60.8;53.3;2021-05-19
222;2021-05-24T00:00:17+00:00;/sonometros;NoiseLevelObserved;T248671-daily;60.1;61.1;64.0;61.3;56.3;2021-05-23
223;2021-05-25T00:00:13+00:00;/sonometros;NoiseLevelObserved;T248671-daily;60.8;62.3;63.9;60.4;55.5;2021-05-24
